Title, Article, Date Scraped, Source
Insurance para sa COVID-19 inilunsad," MANILA, Philippines — Maaari nang kumuha ng insurance ang mga Pinoy para sa COVID-19. Ito ang inanunsyo ng Cocogen matapos ilun­sad ang kanilang “Covid-19 Assist+, a Personal Accident Insurance with Covid-19 coverage” sa mababang halaga. Ang nasabing assis­tance ay mayroong da­lawang magkaibang pa­ckages kung saan sa P50 bawat isang indibid­­wal ay maaari nang makakuha ng basic package o mas mataas pa dito ang coverage na may prime package na P75. Ang nasabing insu­rance ay magbibigay din ng coverage para sa ac­cidental death at disablement, Burial bene­fit sa sandaling masawi at para sa daily hospital benefit para sa hospitalization, gayundin ang accident at cash assistant sa sandaling masawi dahil sa ibang sakit. Para naman sa mga diagnosed na may COVID-19 ay maaari nilang ma-claim para sa daily hospital benefit para sa maximum na 15-araw, bukod pa dito ang cash assistance sa san­daling masawi dahil sa nasabing sakit. Insurance para sa COVID-19 inilunsad Gemma Garcia MANILA, Philippines — Maaari nang kumuha ng insurance ang mga Pinoy para sa COVID-19. Ito ang inanunsyo ng Cocogen matapos ilun­sad ang kanilang “Covid-19 Assist+, a Personal Accident Insurance with Covid-19 coverage” sa mababang halaga. Ang nasabing assis­tance ay mayroong da­lawang magkaibang pa­ckages kung saan sa P50 bawat isang indibid­­wal ay maaari nang makakuha ng basic package o mas mataas pa dito ang coverage na may prime package na P75. Ang nasabing insu­rance ay magbibigay din ng coverage para sa ac­cidental death at disablement, Burial bene­fit sa sandaling masawi at para sa daily hospital benefit para sa hospitalization, gayundin ang accident at cash assistant sa sandaling masawi dahil sa ibang sakit. Para naman sa mga diagnosed na may COVID-19 ay maaari nilang ma-claim para sa daily hospital benefit para sa maximum na 15-araw, bukod pa dito ang cash assistance sa san­daling masawi dahil sa nasabing sakit. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/bansa/2020/10/26/2052292/insurance-para-sa-covid-19-inilunsad&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAAegQIARAB&usg=AOvVaw1L1ssEgONhzab3gcQzxgZR
"Insurance sa magsasaka, isinulong ng ACT-CIS"," MANILA, Philippines — Inihain sa Kongreso ni Anti-Crime and Terrorism Community Involvement and Support (ACT-CIS) Partylist Rep. Eric Go Yap, na siya ring legislative caretaker ng lalawigan ng Benguet, ang House Bill No. 7011, o mas kilala bilang “Free Index-Based Agricultural Insurance (FIBAI) Act of 2020” kamakalawa ng gabi. Layunin ng naturang panukalang batas na pagkalooban ng libreng weather index-based insurance service ang mga magsasaka, upang mas mabilis silang makabawi mula sa impact ng mga ‘weather events’ na nagreresulta sa matinding pagkalugi, problemang pampinansiyal at di mabayarang mga utang. Ayon kay Yap, napapanahon na para bigyan ang mga magsasakang Pinoy ng sapat na pagkilala at proteksiyon. Paliwanag pa niya, ang Pilipinas ay isang agricultural na bansa kaya’t dapat na nakapokus tayo sa pagbibigay ng suporta sa mga magsasaka na siyang nagpapakain sa ating mga pamilya sa pamamagitan ng kanilang ani. “Philippines is an agricultural country – we have to focus on and support our farmers. They feed not only their families through their produce but the entire nation as well. As time goes by, the serious effects of climate change can be evidently observed. This global pheno-menon makes our farmers more vulnerable as agricultural lands are highly exposed to the wide range of its impacts,” pahayag pa ni Yap. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/bansa/2020/06/19/2021933/insurance-sa-magsasaka-isinulong-ng-act-cis&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjABegQICBAB&usg=AOvVaw1CxHXKakKyn3aucuGg0kD2
Insurance sa construction workers isinulong sa House," MANILA, Philippines — Isinusulong sa Kamara ang panukalang magbibigay ng insurance coverage sa mga construction workers sa bansa. Sa House bill 2497 ni Construction Workers Solidarity (CSW) partylist Rep. Romeo Momo Sr., ang mga employer o contractor na mayroong mahigit sa 10 construction workers ay dapat kumuha ng group personal accident insurance para sa kanyang mga tauhan. Ayon pa kay Momo na vice-chairman ng Committee on Labor and Employment, epektibo ang insurance sa simula ng serbisyo ng isang construction worker hanggang sa matapos ang proyekto o sa termination ng employment contract. Paliwanag pa ng kongresista, masyadong delikado ang trabaho ng mga construction workers kaya kailangan ng mandatory group personal accident insurance coverage para sa sandaling maaksidente sila, magkasakit, disability o masawi dahil sa kanilang trabaho mabibigyan sila ng ayuda at tulong. Ang insurance coverage ay dapat mayroong P100,000 para sa death benefit, P30,000 sa burial na dapat matatanggap ng benepisyaryo sa loob ng 48 oras matapos lumabas ang written notice and declaration of death. Sa sandaling matukoy naman ng Department of Labor and Employment (DOLE) na ang isang construction worker ay nagtamo ng “total and permanent disability” ay dapat makatanggap siya ng P75,000 cash benefits, ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/bansa/2020/02/15/1993217/insurance-sa-construction-workers-isinulong-sa-house&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjACegQICRAB&usg=AOvVaw0fGbspZ9_TqQGhlXj52_Bm
P1 milyong insurance coverage sa depositors isinusulong," MANILA, Philippines —Isinusulong ni Makati City Rep. Luis Campos na ga­wing doble ang maximum deposit insurance coverage (MDIC) ng 63 million bank depositors sa buong bansa. Sa House Bill 5812 na inihain ni Campos sa Kamara, isinusulong niya na gawing mula sa kasalukuyang MDIC na P500,000 ay gawin itong P1 Million per depositor sa bawat bangko. Inaamyendahan ng panukala ang charter ng Philippine Deposit Insurance Corp. (PDIC) na nagtatakda ng MDIC. Ayon kay Campos, sa panahon ngayon at sa mga nagtataasang presyo ay dapat lamang na itaas na ang insurance protection ng mga bank depositors. Paraan din umano ito para mahikayat pa lalo ang mga Pilipino na patuloy na magdeposito at gumamit ng bangko. Noong 2017, ilang daang libong bank depositors din ang naapektuhan ng pagsasara ng 41 bangko na karamihan ay mga rural lenders. (Gemma Garcia) ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/bansa/2019/12/19/1978237/p1-milyong-insurance-coverage-sa-depositors-isinusulong&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjADegQIBxAB&usg=AOvVaw2dAv3os17wuza2-2H37ZMY
"Raket ng insurance company, bistado ng BITAG!"," MARAMING insurance company ngayon ang ginagamit ang kanilang line of business upang makapanglamang ng kanilang mga kliyente. Bibigyan ka ng mga paikut-ikot na paliwanag para sa huli, naisahan ka nila. Katulad na lamang ng sumbong sa amin ng isang matandang lalaking naka-aksidente ng kanyang SUV. July ng taong ito ay hindi inaasahang nahulog sa pala­yan ang minamaneho niyang sasakyan dulot ng malakas na ulan. Ayon sa insurance company, total wreck na raw ang sasakyan kaya kukunin na nila ito. Habang ang perang makukuha sa insurance ay ibabayad daw sa financing company. Ibig sabihin, walang matitira sa owner ni singkong duling. Umalma ang may-ari ng sasakyan dahil umaandar pa naman daw ang sasakyan na siya ring sinabi ng casa. Duda niya, may mga oportunistang nagkainteres lang sa kanyang SUV kaya ito idineklarang total wreck. Ora mismo ay pinuntahan ng BITAG Strike Team ang opisina ng Standard Insurance Company sa Makati City. Pagdating pa lang sa lugar ay umalma na ang security guard at ilang staff nila. Hindi raw puwedeng idokumento ang pag-uusap pero wala silang nagawa nang iharap namin sa kanila ang complainant. Paliwanag nila, hindi na raw mapapakinabangan ang sasakyan at mas malaki pa ang magagastos sa repair nito. Agad naman namin itong tinutulan dahil obligasyon naman nilang gastusan ang repair nito dahil insured nga naman ito sa kanila. We did not let them get away with their cock-and-bull story kaya naman sa huli ay nakipagkasundo ang Standard Insurance Company na hahanap na lang sila ng mas murang talyer upang mas bumaba ang gastos sa repair ng SUV. O, ibang kumpanya ng insurance diyan kuwidaw kayo sa mala-dorobo n’yong estilo ha! Kukunin n’yo ang sasakyan na kunwari total wreck at ang perang katumbas ay ibabayad kuno sa financing company? Ano ‘yan, katamaran, katangahan o sadyang panggagantso nang wala ng mapala ang kliyente?! Basa na namin ang mga modus n’yo. May kukuha ng sasakyan para ayusin at saka ninyo ibebenta. Kaya sa mga nakakatunog na tinatabla kayo ng mga insurance company n’yo, huwag mag-atubiling lumapit sa amin. Laging nakakasa ang aming mga patibong kaya malas lang nila pag nahulog sila sa aming BITAG. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/opinyon/2019/09/27/1955327/raket-ng-insurance-company-bistado-ng-bitag&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAEegQIBhAB&usg=AOvVaw0Rbi6Lb3MBosRw6vcO20Rj
Reklamo ni Edwin Dizon vs.  FPG Insurance Company," SAKIT ng ulo at sama ng loob ang dinanas ni Edwin Dizon, may-ari ng isang Ford Everest, na may plakang ABE - 3820, ng mabangga ng isang motorsiklo sa likuran bahagi ng kanyang SUV last Augusto14, 2017. Dahil sa pangyayaring ito agad niyang isinumite last Agosto 16, 2017, ang lahat ng pertinent documents tungkol sa aksidente sa Ford Service Center Commonwealth branch sa Kyusi para sa claim ng kanyang car insurer ang FPG insurance. After two days ipinadala ng Ford service center sa insurance ni Dizon ang repair estimates. Sa kuento ni Dizon, matapos ang isang buwan nagpadala ng e-mail ang Ford Service Center sa FPG Insu­rance para i-follow up ang insurance claim. Agad naman sinabi ng FPG Insurance na ang policy ng sasakyan ay hindi pa umano bayad kaya ang claim para sa indemnity ay hindi pa daw puedeng maaksyunan? Pinalagan ni Dizon ang FPG insurance dahil bayad na siya in full payment sa premium requirement na kailangan sa policy at aniya may hawak siyang resibo na magpapatunay na binayaran niya ng buo ang ahente niya sa insurance at wala na siyang utang dito pero wala daw aksyon o response ginawa ang insurance company. Noong November 22, 2017, muling nagpadala ng e-mail ang Ford Service Center sa FPG insurance para mag-claim ng indemnity para gawin na ang sasakyan ni Dizon at ang huling follow up e-mail ay ginawa muli ng Ford Service Center noong December 15, 2017. Sa buwisit ni Dizon at sa mga abalang ibinigay umano sa kanya ng FPG insurance ay nag-consult siya sa lawyer last February 23, 2018. Nagpadala naman ang abogado ng demand letter na naka-address sa pangulo ng kumpanya at copy furnished naman ang Insurance Commission. Last March 5, 2018, matapos ang 8 months na ‘kalbaryo’ sa pagbibigay ng mga kinakailangan documentary requirements para sa claim of indemnity sa FPG insu­rance, isang letter of authority ang ini-isyu ng insurer para sa Ford Service Center para bigyan basbas ang huli na gawin na ang sasakyan. Naku ha! Sa puntong ito nag-muni, muni naman si Dizon, dahil balak niyang ipagharap na nang reklamo ang FPG Insu­rance dahil marami itong nilabag na probisyon sa batas at kung hindi pa daw siya kumuha nang abogado ay baka up to now ay wala pang response ang insurer. Balak ni Dizon ngayon na ireklamo sa insurance commission ang insurer para maparusahan sa mala­king abala, sama ng loob, init ng ulo at pagkakasakit na nangyari sa kanya sa umano’y ginawang pagpapa-ikot diumano ng insurer. ‘Kung hindi pa ako kumuha ng abogado ay walang aksyon gagawin ang FPG insurance sa sasakyan ko at ang abala, pasakit, sama ng loob na ginawa nito sa akin ay hindi kayang tumbasan ng salapi.’ banat ni Dizon. Abangan. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/opinyon/2018/03/26/1800354/reklamo-ni-edwin-dizon-vs-fpg-insurance-company&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAFegQIAxAB&usg=AOvVaw2g7KpHHtAOE95sBIPYo8NA
EDITORYAL - Huwag isapribado ang PhilHealth," Dahil sa lawak ng korapsiyon sa Philippine Health Insurance Corp. (PhilHealth), balak ni President Duterte na buwagin ito at isapribado. Sa palagay ng Presidente, kapag isinapribado, matitigil na ang korapsiyon sa insurance agency na ang gu­ma­gawa ay mismong mga opisyal. Kamakalawa, sinampahan na ng NBI ng kaso ang mga matatatas na opisyal ng PhilHealth. Noong nakaraang buwan, nagbitiw si dating PhilHealth Chief and CEO Ricardo Morales. Inaakusahan ang mga opisyal na nagbulsa ng P15 bilyon sa pamamagitan ng internal reimbursement mechanism (IRM). Ipinalit ni Duterte si dating NBI Director Dante Gierran bilang bagong PhilHealth chief. Pero kahit mayroon nang bagong namumuno sa PhilHealth, tila ba gusto ng Presidente na isapribado ang insurance agency para maputol ang korapsiyon. Kamakailan, nasabi ng Presidente na nag-offer siyang magbitiw sa puwesto dahil wala na raw pag-asa pang maawat ang katiwalian sa mga tanggapan ng pamahalaan. At ang solusyon niya para mawala ang korapsiyon sa PhilHealth ay buwagin o isapribado ito. Pero tutol si Gierran sa pagsasapribado ng PhilHealth. Kapag isinapribado raw ang PhilHealth, paano na raw ang mga miyembro nito. Paano rin daw ang mahihirap na mamamayan na magpapaospital lalo pa’t lahat ay awtomatikong miyembro ng PhilHealth. Mangyayari pa raw ba ito kapag isinapribado ang PhilHealth? Hindi raw tama na isapribado ang ahensiya. Kaya naman itong pamahalaan ng gobyerno. May punto si Gierran na huwag isapribado ang PhilHealth. Maaring maapektuhan ang mga mi-yembro kapag hinawakan ng pribadong kompanya. Kawawa naman ang mga maliliit na miyembro na naghuhulog para mayroon silang inaasahan sa oras ng pagkakasakit. Hayaan munang patunayan ni Gierran na may- ­roon siyang kakayahan na maibangon ang naka­sub­sob na PhilHealth. Kapag wala siyang nagawang pagbabago, saka pag-isipan na isapribado ito. Huwag muna sa ngayon. Sana naman may magawa si Gierran para maisalba ang PhilHealth. Kung mayroon siyang nagawang pagbabago sa NBI sana ganundin sa PhilHealth. Magtagumpay sana siya para sa kapakanan ng mga umaasang miyembro lalo sa panahong ito na may pandemya. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/opinyon/2020/10/04/2046972/editoryal-huwag-isapribado-ang-philhealth&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAGegQIAhAB&usg=AOvVaw0S5tU17KYiQ8GLVCMc-UR_
Insurance company inireklamo," MANILA, Philippines - Inireklamo sa Insurance Commission (IC) ng isang claimant/complainant ang isang insurance company na ayaw umanong tumupad sa pagbabayad ng seguro kaugnay sa obligasyon sa ninakaw na sasakyan. Sa complaint affidavit na inihain ng isang Estrella Barbasa, lumabag umano ang Prudential Gurantee and Assurance, Inc. sa isinasaad ng kasunduan sa obligasyong bayaran ang naka-insured na Hyundai Accent 2010 model na nakarnap noong Sept. 20, 2010. Kumpleto umano ang isinumite nilang rekisitos na kailangan sa pag-claim ng comprehensive insurance kabilang pa ang pagbibigay din ng kopya hinggil sa insidente ng carnapping, kung saan nasampahan din umano niya ng kaso ang mga suspect sa carnapping. Saklaw umano sa insurance policy ang pagbibigay ng seguro sa carnapping at theft subalit kahit may mahigit isang taon ng naglabas ng warrant of arrest ang Mandaluyong Regional Trial Court laban sa mga suspect ng carnapping noong Enero 25, 2012, na indikasyong may probable cause, bigo pa rin umano ang insurance firm na ibigay ang kanilang claim, dahil umano sa isyu ng teknikalidad sa kaso. Nagkaroon na rin umano ng mediation sa IC ang magkabilang partido, ayon sa complainant subalit bigo pa rin silang makakuha ng claim. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/bansa/2013/11/10/1254927/insurance-company-inireklamo&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAHegQIBBAB&usg=AOvVaw2a8PJTgyLOQmz1fJ2oZFAN
"EDITORYAL - Mga ‘big fish’ sa PhilHealth, lambatin!"," Si Department of Justice (DOJ) Secretary Menardo Guevarra ang nagsabi na marami pang “malalaking isda” sa Philippine Health Insurance Corp. (PhilHealth) ang sasampahan nila ng kaso sa mga susunod na araw. Sinabi ito ng Justice Secretary nang magkaroon nang pagdinig sa Senado noong Lunes. Marami pa aniyang matataas na opisyal na sangkot sa kaso kaugnay sa multibilyong pisong corruption scandal sa insurance agency. Mahigit 30 opisyal ng PhilHealth ang sinampahan na ng kaso ng National Bureau of Investigation (NBI) noong nakaraang buwan. Nagbitiw na ang mata­taas na opisyal na pinangunahan ni dating Phil­Health chief and CEO Ricardo Morales. Si President Duterte mismo ang nag-utos na magbitiw si Morales. Itinalaga naman niya si dating NBI director Dante Gierran na kapalit ni Morales. Iginigiit naman ng Senado na dapat isama sa mga kakasuhan si DOH Sec. Francisco Duque III. Sinabi ni Sen. Panfilo Lacson na dapat sampahan ng kaso si Duque sapagkat mayroong “sapat na ebi­densiya” laban dito. Pinakakasuhan ng criminal at administrative charges si Duque. Una nang sinabi ni Duque na wala siyang kinalaman sa mga ina­akusa sa kanya. Suportado naman ni President Duterte si Duque at sinabing nananatili ang pagtitiwala niya rito. Nabuking ang anomalya sa PhilHealth dahil na rin sa pagbubulgar ng mismong empleyado na nagsa­bing may “mafia” sa ahensiya na kinabibilangan ng mga matataas na opisyal. Ayon sa report, uma­abot sa P14.9 billion sa ilalim ng interim reimburse­ment mechanism (IRM) ang nalustay bukod sa iba pang anomalya sa ahensiya. Marami pa raw “malalaking isda” sa PhilHealth ang pangangalanan sa mga susunod na araw, sabi ng DOJ. Sana nga ibulgar na ang mga “big fish” at kasuhan. Dapat silang pagbayarin sa ginawang pagnanakaw. Kung hindi sila mapaparusahan, mauulit ang katiwalian at walang ibang kawawa kundi ang mga maliliit na miyembro ng PhilHealth na nagti­­ti­yagang maghulog. Nararapat nang malambat ang mga “malalaking isda” sa PhilHealth at magsagawa na ng reporma ang bagong pinuno nito. Kailangan ang pagbabago sa PhilHealth. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/opinyon/2020/10/08/2048026/editoryal-mga-big-fish-sa-philhealth-lambatin&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAIegQIChAB&usg=AOvVaw3DfkitI9TA2s7DCaJ8Bzf-
Insurance firm launches new global fund range," CEBU, Philippines — With an already strong protection portfolio, AIA Philam Life introduced the global fund range, a first to market approach in the Philippines. The new fund instrument will be made available through its suite of variable insurance products aimed at addressing the long-term savings needs of customers, with support from AIA Investment Management Pte. Ltd. (AIA IM). AIA IM is an AIA-affiliated company that was incorporated in 2016 as the hub for regional investment management, solely managing the assets of the AIA entities within the AIA Group and providing investment solutions for customers. “A first to market approach in the Philippines, the Elite Fund Portfolios Range provide unit linked customers access to global investment strategies managed by best in class fund managers. The Elite Funds combine the different strategies to match client risk profiles and focus on delivering long term investment returns. AIA’s experienced team of investment professionals monitor the funds and strategies in the same way we manage our own money. We invest alongside our customers using the same best in class fund managers and apply consistent standards of professional oversight, providing our customers with the reassurance and consistency they expect from AIA.” said Mark Konyn, AIA Group Chief Investment Officer in a recently held webinar. With the support from AIA IM, AIA Philam Life launched the Elite Funds, offering options to customers depending on their risk appetite: Adventurous Fund, Balanced Fund, and Conservative Fund. These funds are sub-managed by leading global investment managers Baillie Gifford, Wellington Management, and Blackrock. “Through our partnership with AIA IM, we are able to give our clients access to a global portfolio of professionally managed funds that can help them grow their money in the long run,” explained Arleen Guevara, AIA Philam Life Chief Investment Officer, adding that by giving the market more investment options, “we are empowering them to achieve their long-term savings objective, thus bringing to life our brand purpose of helping Filipinos live Healthier, Longer and Better Lives.” According to AIA Philam Life CEO Kelvin Ang said, while it has been a challenging year, “the pandemic has given us” a stronger purpose to fulfill our mission. “We remain committed to fulfilling our Save Lives targets and will work towards its completion by the end of the year. It helps immensely that we are well-positioned to fully embrace the shift to digital in response to the physical restrictions. With our digitally enabled agency force, we are ready to continue addressing the protection needs of Filipinos, now at a faster rate. As we continue to adapt to the situation, this also means technology, digital and analytics will be at the center, becoming our enablers in the fulfillment of our mission,” added Ang. ",12/3/20,https://www.philstar.com/pilipino-star-ngayon/cebu-business/2020/12/01/2060685/insurance-firm-launches-new-global-fund-range&sa=U&ved=2ahUKEwivzaH18rDtAhWK7GEKHQmGBqIQFjAJegQIBRAB&usg=AOvVaw2awcTJK0-xpXTEPIiYaE_F