Words,counts
"('ang', 'mga')",13110
"('ako', 'sa')",10966
"('na', 'lang')",9863
"('hindi', 'ko')",9339
"('ko', 'na')",9103
"('sa', 'akin')",8825
"('ng', 'mga')",7740
"('ko', 'ang')",7435
"('sa', 'kaniya')",7418
"('na', 'ang')",7387
"('sa', 'mga')",7075
"('ko', 'sa')",5939
"('niya', 'ang')",5739
"('siya', 'sa')",5231
"('ako', 'ng')",5090
"('dahil', 'sa')",4742
"('na', 'ako')",4543
"('na', 'rin')",4459
"('pa', 'rin')",4387
"('hindi', 'na')",4348
"('ang', 'kaniyang')",4345
"('lang', 'ako')",4239
"('sa', 'kanya')",4147
"('mga', 'mata')",4094
"('ang', 'aking')",3832
"('sa', 'kaniyang')",3651
"('niya', 'sa')",3539
"('lang', 'ang')",3416
"('ko', 'at')",3192
"('ang', 'lahat')",3079
"('na', 'siya')",3070
"('tanong', 'ni')",3007
"('siya', 'ng')",2952
"('na', 'si')",2891
"('sa', 'aking')",2865
"('pa', 'ni')",2832
"('naman', 'ang')",2815
"('ka', 'na')",2801
"('sa', 'loob')",2760
"('lahat', 'ng')",2754
"('ako', 'nang')",2712
"('ito', 'sa')",2708
"('na', 'sa')",2704
"('sa', 'kanila')",2600
"('rin', 'ang')",2599
"('naman', 'ako')",2592
"('na', 'hindi')",2567
"('hindi', 'niya')",2520
"('hindi', 'ako')",2461
"('ko', 'pa')",2452
"('sabi', 'ni')",2428
"('naman', 'si')",2424
"('hindi', 'naman')",2390
"('na', 'ito')",2382
"('sabi', 'ko')",2371
"('mula', 'sa')",2314
"('ako', 'at')",2285
"('hindi', 'pa')",2285
"('mo', 'na')",2262
"('ni', 'don')",2234
"('sa', 'isang')",2210
"('ang', 'isang')",2203
"('ng', 'isang')",2197
"('kung', 'saan')",2172
"('ay', 'hindi')",2167
"('tanong', 'ko')",2160
"('at', 'ang')",2157
"('niya', 'at')",2091
"('niya', 'na')",2073
"('at', 'hindi')",2056
"('na', 'may')",2039
"('ko', 'siya')",2013
"('na', 'niya')",2007
"('kami', 'sa')",1987
"('para', 'sa')",1962
"('niya', 'ako')",1939
"('ko', 'lang')",1919
"('ngayon', 'ay')",1918
"('ang', 'kanyang')",1880
"('loob', 'ng')",1875
"('na', 'ngayon')",1858
"('sa', 'amin')",1849
"('pa', 'ang')",1837
"('kung', 'bakit')",1759
"('ko', 'alam')",1752
"('na', 'naman')",1739
"('pero', 'hindi')",1716
"('sa', 'kanyang')",1701
"('nang', 'makita')",1700
"('saad', 'ni')",1696
"('ng', 'kaniyang')",1656
"('sa', 'labas')",1652
"('na', 'iyon')",1650
"('ng', 'tingin')",1643
"('ko', 'naman')",1640
"('hanggang', 'sa')",1630
"('lang', 'siya')",1611
"('ko', 'ay')",1595
"('i', 'dont')",1585
"('alam', 'kung')",1582
"('ko', 'nang')",1574
"('wala', 'na')",1540
"('ko', 'si')",1536
"('sa', 'likod')",1528
"('na', 'kami')",1512
"('ang', 'tingin')",1501
"('si', 'don')",1491
"('din', 'ang')",1476
"('ang', 'kamay')",1470
"('ni', 'nikolas')",1464
"('kung', 'kayat')",1439
"('na', 'nasa')",1428
"('sabi', 'niya')",1407
"('alam', 'kong')",1405
"('dahilan', 'para')",1394
"('lang', 'sa')",1390
"('papunta', 'sa')",1386
"('tugon', 'ni')",1382
"('ni', 'martin')",1379
"('hindi', 'mo')",1367
"('dito', 'sa')",1367
"('ilang', 'sandali')",1364
"('ko', 'ng')",1353
"('i', 'am')",1352
"('of', 'the')",1352
"('siya', 'at')",1351
"('hindi', 'ka')",1350
"('naman', 'ay')",1341
"('na', 'siyang')",1338
"('mata', 'ko')",1337
"('ngayon', 'sa')",1333
"('ako', 'kay')",1333
"('ako', 'na')",1328
"('sa', 'kanilang')",1318
"('niya', 'pa')",1309
"('hindi', 'siya')",1303
"('na', 'ng')",1288
"('are', 'you')",1279
"('ni', 'salome')",1277
"('naman', 'siya')",1272
"('na', 'nga')",1272
"('sila', 'sa')",1271
"('ba', 'ang')",1269
"('tanong', 'niya')",1266
"('i', 'said')",1260
"('pa', 'ako')",1252
"('sa', 'bahay')",1249
"('i', 'was')",1237
"('at', 'sa')",1229
"('he', 'said')",1227
"('nakita', 'ko')",1227
"('sa', 'sinabi')",1226
"('ito', 'ng')",1223
"('rin', 'ako')",1220
"('kung', 'ano')",1215
"('wika', 'ni')",1212
"('si', 'celestina')",1199
"('na', 'lamang')",1198
"('ko', 'rin')",1194
"('lang', 'si')",1193
"('na', 'akong')",1191
"('gusto', 'ko')",1187
"('nito', 'ang')",1179
"('dahil', 'hindi')",1178
"('ako', 'ni')",1161
"('ni', 'juanito')",1155
"('si', 'salome')",1153
"('si', 'martin')",1151
"('and', 'i')",1147
"('sa', 'tapat')",1142
"('sandali', 'pa')",1138
"('ang', 'mukha')",1136
"('sa', 'iyo')",1136
"('oras', 'na')",1116
"('kaniyang', 'mga')",1115
"('pa', 'lang')",1115
"('sa', 'gilid')",1113
"('sa', 'tabi')",1112
"('ang', 'iyong')",1111
"('want', 'to')",1110
"('na', 'parang')",1110
"('ang', 'sarili')",1108
"('mga', 'tao')",1102
"('naman', 'ni')",1097
"('naman', 'sa')",1092
"('nila', 'ang')",1070
"('but', 'i')",1064
"('sagot', 'ni')",1059
"('sa', 'mukha')",1059
"('kami', 'ni')",1058
"('si', 'juanito')",1056
"('rin', 'sa')",1049
"('napatingin', 'ako')",1048
"('you', 'are')",1048
"('kung', 'hindi')",1045
"('ang', 'buong')",1030
"('ng', 'bahay')",1029
"('din', 'ako')",1024
"('mabilis', 'na')",1023
"('wala', 'akong')",1021
"('sa', 'harapan')",1018
"('lalo', 'na')",1015
"('iyon', 'ay')",1013
"('naman', 'ng')",1007
"('mo', 'ba')",1006
"('nga', 'pala')",1005
"('mga', 'ito')",1002
"('pa', 'siya')",1000
"('don', 'alejandro')",997
"('na', 'ba')",994
"('ano', 'ang')",991
"('ngunit', 'hindi')",991
"('iyon', 'sa')",989
"('kami', 'ng')",989
"('ito', 'at')",985
"('ang', 'pinto')",975
"('mo', 'ang')",974
"('ko', 'dahil')",972
"('sa', 'paligid')",972
"('i', 'know')",972
"('ka', 'pa')",967
"('in', 'the')",963
"('kamay', 'ko')",962
"('si', 'nikolas')",961
"('ako', 'ang')",952
"('rin', 'siya')",952
"('sa', 'kwarto')",949
"('nakatingin', 'sa')",949
"('to', 'be')",949
"('ang', 'kanilang')",944
"('at', 'me')",939
"('ka', 'ba')",938
"('sagot', 'ko')",925
"('na', 'sana')",925
"('na', 'din')",918
"('kung', 'sino')",917
"('ng', 'aking')",914
"('yung', 'mga')",914
"('sa', 'gitna')",911
"('na', 'sila')",909
"('ay', 'ang')",906
"('mas', 'lalong')",905
"('siya', 'nang')",904
"('lang', 'naman')",903
"('this', 'is')",901
"('ni', 'sir')",899
"('ng', 'malalim')",896
"('nito', 'sa')",891
"('ko', 'hindi')",886
"('ay', 'may')",885
"('mo', 'sa')",882
"('sinabi', 'niya')",874
"('ka', 'sa')",874
"('puso', 'ko')",868
"('nang', 'biglang')",866
"('at', 'may')",866
"('ang', 'noo')",865
"('na', 'po')",860
"('ni', 'audrey')",859
"('kung', 'anong')",857
"('tungkol', 'sa')",857
"('tapat', 'ng')",855
"('i', 'will')",853
"('alam', 'ko')",849
"('bagay', 'na')",846
"('ni', 'celestina')",846
"('sila', 'ng')",844
"('ako', 'dahil')",844
"('lang', 'din')",838
"('talaga', 'ang')",834
"('ngayon', 'ang')",834
"('namin', 'ang')",832
"('sa', 'lahat')",832
"('need', 'to')",829
"('sigaw', 'ni')",828
"('ni', 'sirene')",827
"('kahit', 'na')",826
"('that', 'i')",826
"('i', 'just')",826
"('alam', 'mo')",816
"('sa', 'sarili')",816
"('makita', 'ang')",813
"('ang', 'dalawang')",812
"('sa', 'buong')",812
"('ka', 'lang')",810
"('tingin', 'ko')",808
"('kung', 'paano')",803
"('sa', 'pagkakataong')",798
"('may', 'mga')",796
"('nagulat', 'ako')",796
"('when', 'i')",793
"('niya', 'ito')",792
"('sa', 'inyo')",791
"('sinabi', 'ko')",789
"('araw', 'na')",788
"('niya', 'si')",787
"('at', 'agad')",784
"('din', 'sa')",784
"('nanlaki', 'ang')",781
"('thank', 'you')",778
"('dahilan', 'upang')",774
"('naman', 'na')",774
"('akala', 'ko')",773
"('hindi', 'ba')",770
"('sa', 'paglalakad')",765
"('na', 'sabi')",764
"('pa', 'sa')",761
"('si', 'sirene')",758
"('mas', 'lalo')",757
"('din', 'siya')",756
"('agad', 'akong')",755
"('kanina', 'pa')",753
"('aking', 'mga')",747
"('niya', 'ay')",747
"('ni', 'mama')",746
"('at', 'dahil')",745
"('naman', 'akong')",742
"('do', 'you')",737
"('nang', 'marinig')",736
"('pa', 'niya')",727
"('sa', 'sahig')",726
"('ni', 'fidel')",724
"('sa', 'kamay')",722
"('gulat', 'na')",721
"('habang', 'nakatingin')",720
"('sana', 'ako')",719
"('i', 'can')",718
"('siya', 'ni')",717
"('madam', 'olivia')",717
"('i', 'asked')",716
"('sir', 'nathan')",714
"('sa', 'harap')",713
"('lang', 'ay')",712
"('hindi', 'rin')",709
"('bigla', 'siyang')",709
"('saad', 'ko')",708
"('patuloy', 'pa')",708
"('i', 'want')",708
"('ni', 'madam')",705
"('i', 'cant')",704
"('sa', 'kama')",700
"('napatingin', 'sa')",699
"('na', 'pala')",698
"('lang', 'ng')",698
"('nito', 'at')",698
"('siya', 'ang')",697
"('labas', 'ng')",696
"('pumasok', 'sa')",696
"('papalapit', 'sa')",696
"('na', 'tanong')",693
"('mga', 'guardia')",692
"('gusto', 'kong')",688
"('akin', 'ang')",687
"('maliit', 'na')",684
"('narinig', 'ko')",684
"('pa', 'ng')",683
"('ito', 'ay')",683
"('likod', 'ng')",680
"('sa', 'aming')",680
"('ko', 'pero')",679
"('tingin', 'sa')",678
"('san', 'alfonso')",678
"('si', 'sir')",678
"('dont', 'know')",675
"('ang', 'pangalan')",674
"('wala', 'naman')",674
"('on', 'the')",672
"('pala', 'ang')",671
"('sinabi', 'ni')",670
"('ko', 'habang')",670
"('ito', 'ang')",669
"('mata', 'ni')",669
"('it', 'was')",669
"('ko', 'siyang')",665
"('man', 'lang')",662
"('ng', 'diretso')",661
"('ang', 'buhok')",658
"('siya', 'sakin')",656
"('ito', 'na')",656
"('mo', 'ako')",655
"('ni', 'maria')",654
"('ang', 'ilang')",653
"('pa', 'din')",652
"('pagkakataong', 'iyon')",652
"('i', 'didnt')",651
"('ng', 'lahat')",650
"('naman', 'niya')",649
"('sa', 'tuwing')",646
"('si', 'lucas')",645
"('na', 'tayo')",644
"('sa', 'kabilang')",642
"('my', 'eyes')",640
"('to', 'the')",637
"('ang', 'sinabi')",636
"('malakas', 'na')",633
"('na', 'ni')",632
"('ko', 'kay')",630
"('sino', 'ang')",630
"('bakit', 'hindi')",629
"('mga', 'luha')",629
"('kanilang', 'mga')",628
"('ka', 'ng')",620
"('kamay', 'niya')",620
"('ng', 'tubig')",618
"('na', 'natapos')",616
"('ni', 'ama')",612
"('siya', 'ngayon')",612
"('sa', 'tingin')",611
"('lang', 'na')",609
"('si', 'audrey')",608
"('isa', 'sa')",608
"('namin', 'sa')",607
"('sarili', 'ko')",607
"('ni', 'lucas')",603
"('sa', 'oras')",603
"('na', 'to')",602
"('at', 'the')",600
"('ang', 'babaeng')",599
"('to', 'me')",599
"('i', 'saw')",594
"('mukha', 'niya')",593
"('ako', 'ngayon')",592
"('mga', 'taong')",591
"('i', 'have')",591
"('rin', 'naman')",589
"('gitna', 'ng')",589
"('he', 'was')",589
"('gilid', 'ng')",588
"('mga', 'bata')",588
"('akin', 'si')",588
"('ano', 'ba')",587
"('ang', 'mata')",587
"('ko', 'kung')",587
"('niya', 'lang')",585
"('gamit', 'ang')",584
"('sa', 'sobrang')",581
"('si', 'sebastian')",580
"('agad', 'na')",578
"('sa', 'lupa')",575
"('lamang', 'ang')",574
"('kanyang', 'mga')",573
"('in', 'my')",572
"('guardia', 'civil')",571
"('niya', 'ng')",570
"('ko', 'saka')",570
"('mo', 'pa')",569
"('talaga', 'ako')",569
"('you', 'know')",567
"('diretso', 'sa')",566
"('looked', 'at')",566
"('na', 'agad')",565
"('siya', 'na')",564
"('ang', 'puso')",564
"('of', 'my')",562
"('patungo', 'sa')",562
"('ng', 'kanilang')",562
"('niya', 'dahil')",562
"('akin', 'at')",562
"('pakiramdam', 'ko')",561
"('pa', 'ay')",560
"('sa', 'bintana')",559
"('ba', 'ako')",558
"('kaniya', 'ang')",558
"('ng', 'puso')",555
"('mo', 'naman')",555
"('will', 'be')",554
"('ang', 'ulo')",554
"('on', 'my')",553
"('oo', 'nga')",553
"('kaniya', 'at')",552
"('kahit', 'pa')",551
"('ano', 'bang')",550
"('gusto', 'mo')",550
"('have', 'a')",548
"('ang', 'sasabihin')",548
"('napatigil', 'ako')",548
"('kaya', 'hindi')",548
"('tumingin', 'sa')",547
"('naalala', 'ko')",546
"('ang', 'boses')",546
"('ko', 'kaya')",546
"('kinuha', 'ko')",546
"('ko', 'ngayon')",544
"('ko', 'yung')",543
"('ng', 'kwarto')",539
"('niya', 'akong')",536
"('narinig', 'kong')",535
"('para', 'hindi')",535
"('sa', 'kusina')",534
"('agad', 'namang')",534
"('ikaw', 'ang')",533
"('rin', 'si')",531
"('agad', 'siyang')",530
"('said', 'and')",529
"('muna', 'ako')",528
"('tao', 'sa')",528
"('na', 'kung')",528
"('as', 'i')",527
"('ang', 'ngiti')",526
"('i', 'think')",526
"('ang', 'iba')",525
"('ibig', 'sabihin')",525
"('pa', 'ito')",525
"('puno', 'ng')",522
"('ni', 'kuya')",522
"('ng', 'dalawang')",522
"('kaniya', 'si')",521
"('lumapit', 'sa')",521
"('ng', 'pinto')",520
"('wala', 'pa')",520
"('niya', 'saka')",520
"('ni', 'nightmare')",520
"('muli', 'ang')",520
"('nila', 'sa')",519
"('pa', 'sana')",518
"('lang', 'kami')",517
"('ako', 'ay')",516
"('itim', 'na')",516
"('na', 'talaga')",514
"('ako', 'hindi')",514
"('doon', 'sa')",514
"('nito', 'na')",514
"('ni', 'brix')",513
"('ko', 'para')",513
"('don', 'amadeo')",512
"('nga', 'ang')",511
"('ang', 'lalaking')",510
"('niya', 'habang')",509
"('rin', 'ng')",507
"('mata', 'niya')",506
"('sa', 'gulat')",503
"('ng', 'kanyang')",502
"('sa', 'ulo')",502
"('nang', 'may')",501
"('alam', 'na')",500
"('lang', 'po')",499
"('sasabihin', 'ko')",498
"('lahat', 'sa')",497
"('napatingin', 'naman')",497
"('ni', 'sebastian')",496
"('sa', 'mesa')",496
"('akin', 'ni')",495
"('ang', 'anak')",495
"('kong', 'tanong')",491
"('nang', 'hindi')",491
"('ni', 'gian')",491
"('tumayo', 'na')",490
"('na', 'yung')",489
"('nito', 'ay')",488
"('niya', 'hindi')",488
"('sa', 'iyong')",487
"('si', 'brix')",487
"('din', 'ng')",486
"('he', 'asked')",485
"('mga', 'kaibigan')",484
"('po', 'ang')",484
"('maging', 'ang')",483
"('kailangan', 'ko')",482
"('i', 'heard')",481
"('iyon', 'ang')",480
"('sila', 'ni')",479
"('na', 'wala')",479
"('maria', 'florencita')",479
"('kong', 'sabi')",479
"('na', 'para')",479
"('na', 'ko')",478
"('niya', 'sabay')",477
"('sabi', 'pa')",476
"('because', 'of')",476
"('at', 'naglakad')",476
"('pa', 'naman')",476
"('din', 'si')",474
"('siya', 'ay')",473
"('po', 'ako')",472
"('ng', 'lalaki')",471
"('nang', 'malalim')",468
"('niyo', 'na')",468
"('ni', 'loisa')",468
"('niya', 'nang')",468
"('ang', 'dalawa')",467
"('for', 'the')",466
"('noo', 'ko')",466
"('patuloy', 'niya')",465
"('ay', 'agad')",465
"('nakita', 'kong')",464
"('namin', 'ni')",462
"('pilit', 'na')",461
"('at', 'nakita')",461
"('im', 'not')",460
"('nya', 'ang')",460
"('going', 'to')",459
"('sa', 'mata')",459
"('di', 'ko')",458
"('if', 'you')",458
"('na', 'nila')",458
"('ni', 'leo')",457
"('at', 'kung')",457
"('kamay', 'ni')",457
"('niya', 'rin')",457
"('si', 'mama')",456
"('love', 'you')",455
"('ba', 'talaga')",455
"('hanggang', 'ngayon')",455
"('at', 'him')",455
"('sa', 'buhay')",455
"('babae', 'na')",455
"('i', 'need')",455
"('hindi', 'ito')",453
"('na', 'yon')",452
"('bago', 'pa')",452
"('hindi', 'man')",452
"('nararamdaman', 'ko')",451
"('nila', 'ako')",451
"('pabalik', 'sa')",451
"('mo', 'lang')",450
"('at', 'mga')",449
"('ko', 'ba')",448
"('sya', 'sa')",448
"('ramdam', 'ko')",448
"('what', 'i')",447
"('na', 'hawak')",447
"('mabuti', 'na')",446
"('ngiti', 'sa')",445
"('tiyak', 'na')",445
"('ni', 'mang')",444
"('juanito', 'at')",443
"('naman', 'siyang')",442
"('wala', 'siyang')",442
"('mukha', 'ni')",441
"('i', 'love')",441
"('lumabas', 'na')",441
"('niya', 'yung')",440
"('ang', 'isa')",440
"('naramdaman', 'ko')",440
"('for', 'a')",439
"('biglang', 'may')",439
"('ko', 'kasi')",439
"('iyon', 'na')",439
"('sa', 'braso')",436
"('napangiti', 'naman')",436
"('lugar', 'na')",436
"('mga', 'kamay')",436
"('pero', 'wala')",435
"('saad', 'niya')",435
"('ni', 'batchoy')",435
"('bahay', 'nila')",435
"('na', 'kayo')",434
"('din', 'naman')",434
"('bigla', 'akong')",434
"('ilang', 'minuto')",432
"('ng', 'babae')",432
"('si', 'maria')",432
"('rin', 'niya')",432
"('kayo', 'sa')",432
"('lang', 'talaga')",432
"('ang', 'pamilya')",431
"('ng', 'ilang')",431
"('agad', 'kong')",431
"('ay', 'wala')",431
"('niya', 'ngayon')",431
"('buong', 'paligid')",430
"('tugon', 'niya')",429
"('sa', 'yo')",428
"('ang', 'buhay')",428
"('sa', 'pinto')",428
"('ni', 'carmelita')",427
"('sagot', 'niya')",427
"('in', 'a')",426
"('nakatayo', 'sa')",426
"('at', 'parang')",426
"('me', 'i')",424
"('im', 'sorry')",423
"('mukha', 'ko')",422
"('tabi', 'ko')",421
"('marinig', 'ang')",421
"('sa', 'labi')",421
"('sa', 'isipan')",420
"('at', 'wala')",420
"('ni', 'angelie')",419
"('sa', 'puso')",419
"('ang', 'araw')",419
"('agad', 'naman')",419
"('ngiti', 'ni')",419
"('habang', 'si')",418
"('ng', 'dalaga')",418
"('dahil', 'dun')",418
"('my', 'head')",417
"('ang', 'unang')",417
"('nga', 'lang')",416
"('si', 'kuya')",415
"('lang', 'niya')",413
"('si', 'nightmare')",413
"('niya', 'sakin')",413
"('wika', 'niya')",412
"('lang', 'ito')",412
"('na', 'yan')",412
"('tayo', 'sa')",412
"('patuloy', 'ni')",411
"('si', 'madam')",411
"('ko', 'namang')",411
"('sakin', 'at')",410
"('pa', 'nga')",410
"('na', 'at')",410
"('salome', 'at')",410
"('luha', 'sa')",409
"('me', 'and')",407
"('you', 'can')",405
"('ni', 'leandro')",405
"('don', 'facundo')",405
"('lalaki', 'na')",404
"('rin', 'ito')",404
"('na', 'kaming')",404
"('kami', 'ngayon')",403
"('ng', 'pagkain')",403
"('silang', 'dalawa')",402
"('naman', 'kami')",402
"('ako', 'pero')",402
"('hindi', 'lang')",401
"('pa', 'ba')",401
"('po', 'ba')",401
"('sa', 'kalesa')",401
"('galit', 'na')",401
"('pa', 'man')",400
"('ni', 'aling')",400
"('sa', 'balikat')",399
"('don', 'matias')",398
"('kahit', 'papaano')",398
"('ng', 'hangin')",398
"('si', 'leo')",398
"('nga', 'ako')",398
"('ng', 'malakas')",398
"('iyon', 'at')",397
"('matapos', 'ang')",397
"('ako', 'para')",396
"('what', 'the')",395
"('hinawakan', 'ang')",395
"('niya', 'iyon')",395
"('ng', 'isa')",395
"('me', 'to')",395
"('ang', 'aming')",394
"('umalis', 'na')",394
"('at', 'ngayon')",394
"('nya', 'ako')",393
"('na', 'yun')",392
"('to', 'do')",391
"('one', 'of')",391
"('upang', 'hindi')",391
"('mo', 'bang')",391
"('sabay', 'tingin')",390
"('niya', 'pero')",390
"('ko', 'nga')",390
"('ni', 'adrian')",389
"('kasi', 'ang')",389
"('at', 'mukhang')",389
"('napatigil', 'siya')",389
"('you', 'want')",389
"('nang', 'bigla')",388
"('pa', 'si')",388
"('ni', 'lola')",388
"('parang', 'may')",388
"('kong', 'hindi')",388
"('ay', 'nasa')",387
"('akin', 'na')",387
"('sabi', 'nito')",387
"('ulo', 'ko')",386
"('na', 'mas')",386
"('susunod', 'na')",385
"('ng', 'tao')",385
"('ba', 'siya')",385
"('dahil', 'may')",383
"('is', 'the')",383
"('tugon', 'pa')",383
"('nasa', 'tabi')",383
"('ng', 'pamilya')",383
"('mga', 'gamit')",383
"('na', 'namin')",382
"('naglakad', 'na')",382
"('habang', 'ang')",382
"('out', 'of')",382
"('ng', 'iyong')",381
"('sakin', 'ni')",380
"('kay', 'don')",380
"('bakit', 'ba')",380
"('bigla', 'namang')",380
"('madam', 'costellanos')",380
"('habang', 'naglalakad')",379
"('ng', 'binata')",379
"('sa', 'maynila')",379
"('si', 'loisa')",379
"('ilalim', 'ng')",378
"('kwarto', 'ko')",378
"('ng', 'maayos')",378
"('ang', 'nangyari')",377
"('nang', 'matapos')",377
"('huwag', 'kang')",377
"('celestina', 'sa')",377
"('hindi', 'nila')",376
"('si', 'ama')",376
"('mata', 'at')",376
"('kinuha', 'ang')",376
"('dahil', 'ang')",374
"('pa', 'ring')",374
"('na', 'baka')",372
"('aalis', 'na')",372
"('tanong', 'ng')",371
"('kay', 'juanito')",371
"('kaniyang', 'ama')",371
"('lakas', 'ng')",371
"('kasama', 'ang')",371
"('nikolas', 'at')",370
"('ngayon', 'at')",370
"('on', 'his')",370
"('ay', 'mas')",370
"('na', 'niyang')",369
"('makita', 'ko')",368
"('wala', 'namang')",368
"('pero', 'sa')",368
"('ni', 'timoteo')",368
"('lang', 'at')",368
"('luha', 'ko')",368
"('si', 'fidel')",367
"('ang', 'sabi')",366
"('sa', 'school')",365
"('bumalik', 'sa')",365
"('at', 'walang')",365
"('malapit', 'na')",365
"('pinto', 'at')",365
"('kahit', 'anong')",364
"('dahil', 'wala')",364
"('ilang', 'beses')",364
"('ang', 'sakit')",364
"('kaming', 'dalawa')",363
"('sabay', 'ngiti')",362
"('maraming', 'salamat')",362
"('i', 'mean')",362
"('ni', 'enrique')",362
"('siya', 'kay')",362
"('napalingon', 'sa')",362
"('marahil', 'ay')",362
"('alam', 'ang')",362
"('nangyari', 'sa')",361
"('ni', 'tita')",360
"('na', 'mga')",359
